"","vtitle","vpoint","vreview"
"1","리멤버","10","정말 눈물 많이 흘리면서 봤어요..  감동적입니다"
"2","리멤버","10","현실에서 하지 못했던 친일파 청산을 영화로나마 대리 만족을 할 수 있었다.한편으론 씁쓸하기도 했지만, 이 또한 역사의 일부분이 되었다는건 인정 할 수 밖에 없었다."
"3","리멤버","10","노재팬때 만드셔서 지금 개봉했는데오히려 친일파가 득세한 지금 보기 더 좋은영화마지막에 눈물 났어요"
"4","늑대사냥","1","완전코미디  좋은배우 낭비"
"5","벨파스트","7","영화를 사랑하며 벨파스트의 골목이 전부였던 9살 소년 버디의 혼란스러운 가족/성장통... 불안했지만 한 편으론 아름다웠던 당신의 유년 시절... 생동감 넘치던 흑백 영상미가 돋보이던..."
"6","리멤버","6","휴.."
"7","늑대사냥","4","잔인하고 자극적인 살육장면만 남발하지 않고 알파의 좀더 섬세한 스토리와 개연성을 약간만 가미했다면 훨씬더 좋은 영화로 남았을것 같다"
"8","블랙 아담","8","히어로의 시작으로 볼만한 영화"
"9","20세기 소녀","7","영화보고 엔딩곡듣는데 옛생각 확올라옴"
"10","미시즈 해리스 파리에 가다","10",""
